amount,description,date,currency
2932.14,Flight booking,2023-08-01,INR
1353.9,Mobile recharge,2023-05-17,INR
2719.64,Amazon purchase,2023-03-07,INR
3598.81,Clothing shopping,2023-02-13,INR
928.75,Book purchase,2023-10-21,INR
4691.58,Swiggy food order,2023-03-03,INR
4377.32,Hotel stay,2023-09-06,INR
657.48,Medical bill,2023-03-19,INR
703.32,Clothing shopping,2023-05-15,INR
1591.94,Rent payment,2023-08-02,INR
1577.98,Medical bill,2023-04-28,INR
3984.56,Hotel stay,2023-11-28,INR
1044.09,Book purchase,2023-10-26,INR
4108.19,Mobile recharge,2023-12-17,INR
1962.66,Movie tickets,2023-03-17,INR
279.23,Medical bill,2023-09-26,INR
3553.6,Movie tickets,2023-04-14,INR
1539.49,Electricity bill,2023-02-02,INR
512.51,Book purchase,2023-07-14,INR
1513.66,Gym membership,2023-02-18,INR
3001.98,Ola cab ride,2023-06-02,INR
2222.19,Clothing shopping,2023-07-01,INR
612.5,Gym membership,2023-12-15,INR
1309.31,Zomato food order,2023-11-18,INR
834.52,Clothing shopping,2023-06-08,INR
1129.4,Medical bill,2023-09-11,INR
3695.53,Mobile recharge,2023-09-20,INR
2936.17,Ola cab ride,2023-10-07,INR
1260.62,Flight booking,2023-05-11,INR
204.11,Clothing shopping,2023-02-07,INR
1137.54,Movie tickets,2023-02-25,INR
3416.57,Mobile recharge,2023-05-11,INR
864.97,Coffee at cafe,2023-12-15,INR
3854.52,Flight booking,2023-12-25,INR
1144.68,Electricity bill,2023-06-10,INR
104.22,Book purchase,2023-12-22,INR
3181.28,Grocery shopping,2023-07-16,INR
210.0,Mobile recharge,2023-04-27,INR
2996.8,Ola cab ride,2023-02-27,INR
2425.37,Electricity bill,2023-06-23,INR
1875.65,Hotel stay,2023-06-28,INR
2167.89,Electricity bill,2023-05-08,INR
962.1,Clothing shopping,2023-07-22,INR
2387.09,Mobile recharge,2023-02-11,INR
4386.41,Amazon purchase,2023-01-10,INR
1092.43,Movie tickets,2023-09-02,INR
3546.35,Flight booking,2023-06-01,INR
695.12,Hotel stay,2023-06-07,INR
2070.77,Electricity bill,2023-09-02,INR
3794.21,Clothing shopping,2023-10-13,INR
872.57,Gym membership,2023-07-27,INR
1637.92,Clothing shopping,2023-03-19,INR
3131.52,Swiggy food order,2023-03-12,INR
3645.74,Hotel stay,2023-05-09,INR
1663.66,Coffee at cafe,2023-02-20,INR
3717.77,Medical bill,2023-04-09,INR
4639.47,Grocery shopping,2023-02-08,INR
693.24,Zomato food order,2023-02-13,INR
847.17,Rent payment,2023-06-15,INR
233.52,Grocery shopping,2023-07-19,INR
4942.27,Grocery shopping,2023-08-23,INR
3172.42,Electricity bill,2023-07-16,INR
4372.78,Flight booking,2023-10-31,INR
946.25,Coffee at cafe,2023-07-19,INR
1581.61,Ola cab ride,2023-03-01,INR
3219.92,Rent payment,2023-10-04,INR
1063.47,Medical bill,2023-12-10,INR
1295.58,Grocery shopping,2023-09-01,INR
4299.33,Gym membership,2023-09-04,INR
4489.34,Hotel stay,2023-10-16,INR
3590.32,Medical bill,2023-02-11,INR
2640.08,Grocery shopping,2023-12-12,INR
3436.35,Swiggy food order,2023-04-12,INR
2137.64,Movie tickets,2023-11-17,INR
4088.88,Rent payment,2023-11-22,INR
1157.84,Swiggy food order,2023-03-10,INR
145.66,Flight booking,2023-06-24,INR
2991.16,Flight booking,2023-10-29,INR
4649.69,Movie tickets,2023-09-07,INR
1622.36,Swiggy food order,2023-02-11,INR
3280.44,Flight booking,2023-07-05,INR
4046.93,Rent payment,2023-12-15,INR
190.3,Mobile recharge,2023-11-10,INR
432.43,Gym membership,2023-03-23,INR
1869.89,Mobile recharge,2023-04-17,INR
3771.93,Ola cab ride,2023-12-12,INR
1224.29,Book purchase,2023-04-14,INR
1450.08,Swiggy food order,2023-07-21,INR
2451.37,Amazon purchase,2023-03-29,INR
4331.34,Coffee at cafe,2023-06-27,INR
2058.34,Hotel stay,2023-07-16,INR
3785.22,Amazon purchase,2023-08-24,INR
588.02,Zomato food order,2023-02-11,INR
4495.96,Flight booking,2023-06-11,INR
2003.5,Swiggy food order,2023-04-04,INR
3143.57,Hotel stay,2023-07-20,INR
4607.02,Coffee at cafe,2023-05-23,INR
3614.57,Medical bill,2023-11-17,INR
2651.88,Amazon purchase,2023-05-12,INR
4837.08,Clothing shopping,2023-11-05,INR
1231.63,Swiggy food order,2023-08-01,INR
3675.82,Mobile recharge,2023-02-27,INR
4748.37,Amazon purchase,2023-08-07,INR
1000.93,Movie tickets,2023-12-22,INR
984.05,Amazon purchase,2023-11-29,INR
1434.59,Mobile recharge,2023-02-21,INR
771.61,Book purchase,2023-01-24,INR
267.21,Rent payment,2023-04-11,INR
2256.54,Medical bill,2023-10-18,INR
3110.54,Rent payment,2023-11-03,INR
1577.48,Movie tickets,2023-01-05,INR
4368.14,Electricity bill,2023-08-02,INR
4963.53,Coffee at cafe,2023-08-29,INR
1541.87,Electricity bill,2023-02-15,INR
2128.85,Rent payment,2023-01-02,INR
1842.04,Zomato food order,2023-10-21,INR
4528.98,Hotel stay,2023-01-27,INR
658.44,Mobile recharge,2023-03-09,INR
1635.51,Flight booking,2023-11-21,INR
2637.73,Coffee at cafe,2023-05-16,INR
1470.52,Coffee at cafe,2023-05-17,INR
3783.31,Flight booking,2023-06-01,INR
4369.28,Book purchase,2023-02-14,INR
