amount,description,date,currency
1667.66,Movie tickets,2023-09-09,INR
4652.04,Medical bill,2023-12-03,INR
4924.2,Rent payment,2023-10-06,INR
3294.04,Electricity bill,2023-11-23,INR
4466.28,Swiggy food order,2023-02-16,INR
1730.32,Grocery shopping,2023-06-02,INR
177.96,Ola cab ride,2023-05-17,INR
4317.13,Book purchase,2023-04-13,INR
4716.36,Zomato food order,2023-05-11,INR
2796.37,Gym membership,2023-07-25,INR
657.19,Hotel stay,2023-09-15,INR
1076.18,Electricity bill,2023-08-20,INR
734.14,Swiggy food order,2023-02-15,INR
4085.6,Zomato food order,2023-12-24,INR
1676.21,Flight booking,2023-03-09,INR
1043.87,Gym membership,2023-01-10,INR
4004.47,Grocery shopping,2023-02-21,INR
1882.56,Rent payment,2023-09-02,INR
1186.12,Rent payment,2023-02-08,INR
3912.63,Rent payment,2023-09-21,INR
4377.42,Grocery shopping,2023-08-09,INR
2582.04,Hotel stay,2023-12-08,INR
3694.46,Grocery shopping,2023-05-26,INR
1205.82,Amazon purchase,2023-06-14,INR
3978.06,Zomato food order,2023-01-20,INR
1856.88,Grocery shopping,2023-04-23,INR
2081.67,Mobile recharge,2023-08-25,INR
1902.99,Amazon purchase,2023-11-18,INR
1514.62,Mobile recharge,2023-07-17,INR
4326.23,Ola cab ride,2023-01-09,INR
3773.25,Medical bill,2023-11-24,INR
3147.94,Swiggy food order,2023-12-27,INR
2605.03,Movie tickets,2023-02-15,INR
2510.93,Ola cab ride,2023-03-23,INR
4183.88,Amazon purchase,2023-05-16,INR
3437.66,Movie tickets,2023-10-09,INR
3774.41,Flight booking,2023-07-22,INR
2393.36,Medical bill,2023-01-22,INR
316.99,Zomato food order,2023-02-20,INR
3823.91,Flight booking,2023-02-24,INR
3454.63,Ola cab ride,2023-02-19,INR
2762.09,Grocery shopping,2023-11-25,INR
305.69,Medical bill,2023-04-27,INR
2202.76,Book purchase,2023-01-31,INR
1943.69,Mobile recharge,2023-07-26,INR
2271.8,Mobile recharge,2023-05-03,INR
2585.42,Book purchase,2023-08-09,INR
3388.73,Hotel stay,2023-10-05,INR
1802.79,Movie tickets,2023-06-06,INR
768.89,Mobile recharge,2023-08-20,INR
4834.56,Grocery shopping,2023-12-25,INR
4762.73,Amazon purchase,2023-06-15,INR
1460.39,Electricity bill,2023-05-23,INR
3375.85,Gym membership,2023-08-12,INR
4273.52,Zomato food order,2023-04-09,INR
638.86,Zomato food order,2023-04-24,INR
1701.8,Movie tickets,2023-10-11,INR
3962.81,Book purchase,2023-05-12,INR
636.76,Electricity bill,2023-12-21,INR
1844.24,Coffee at cafe,2023-12-16,INR
3235.51,Mobile recharge,2023-04-13,INR
2313.47,Medical bill,2023-12-15,INR
3925.77,Gym membership,2023-10-05,INR
4994.6,Movie tickets,2023-10-23,INR
3611.78,Movie tickets,2023-11-25,INR
3056.31,Electricity bill,2023-12-02,INR
1137.35,Rent payment,2023-09-10,INR
2438.01,Electricity bill,2023-01-30,INR
2746.34,Zomato food order,2023-06-26,INR
119.51,Gym membership,2023-06-12,INR
4800.08,Clothing shopping,2023-01-26,INR
117.62,Flight booking,2023-10-11,INR
4376.8,Mobile recharge,2023-05-09,INR
4698.75,Flight booking,2023-07-29,INR
1273.64,Ola cab ride,2023-12-30,INR
3484.46,Electricity bill,2023-02-18,INR
1623.2,Medical bill,2023-10-12,INR
3349.99,Flight booking,2023-09-07,INR
1357.79,Swiggy food order,2023-03-23,INR
1422.54,Mobile recharge,2023-07-11,INR
2760.43,Gym membership,2023-09-11,INR
2466.81,Swiggy food order,2023-06-18,INR
3435.73,Hotel stay,2023-10-14,INR
1559.52,Ola cab ride,2023-12-24,INR
3559.5,Book purchase,2023-08-24,INR
4660.02,Book purchase,2023-12-23,INR
3580.61,Coffee at cafe,2023-03-06,INR
4437.91,Mobile recharge,2023-08-18,INR
1071.16,Book purchase,2023-05-22,INR
3390.16,Zomato food order,2023-05-05,INR
137.55,Swiggy food order,2023-08-16,INR
1805.49,Hotel stay,2023-02-11,INR
213.7,Grocery shopping,2023-02-14,INR
562.76,Hotel stay,2023-11-08,INR
4285.75,Zomato food order,2023-02-09,INR
3145.99,Electricity bill,2023-11-25,INR
3282.48,Gym membership,2023-05-14,INR
687.35,Medical bill,2023-04-09,INR
2623.69,Swiggy food order,2023-03-05,INR
1511.8,Medical bill,2023-10-25,INR
982.78,Flight booking,2023-11-10,INR
2339.34,Electricity bill,2023-12-30,INR
347.48,Book purchase,2023-10-20,INR
3852.46,Clothing shopping,2023-12-11,INR
1521.25,Gym membership,2023-03-07,INR
2877.56,Amazon purchase,2023-03-19,INR
3620.91,Hotel stay,2023-07-17,INR
2713.43,Coffee at cafe,2023-07-14,INR
4949.06,Electricity bill,2023-09-12,INR
4718.9,Amazon purchase,2023-02-07,INR
1963.76,Gym membership,2023-05-21,INR
567.51,Clothing shopping,2023-08-03,INR
